1,Boy Shorts,4000,Women's Cloths,p1.jpg,"With a flattering mid-rise fit, these cotton-rich boy shorts are styled in a slim fit, with a button-through fastening and mid-with a mid-thigh hem. Other colours available."
2,Halterneck Top,3540,Women's Cloths,p2.jpg,"This flattering, longline fit halterneck top with v-neckline is a stylish summer staple."
3,Broderie Sleeveless Top,2860,Women's Cloths,p3.jpg,"In a pretty smock shape, this sleeveless top is made from pure cotton that is soft and breathable. With broderie details throughout."
4,Slub Vest,1520,Women's Cloths,p4.jpg,"Meet your new far-from-basic basic. Perfect for warmer days, this supersoft slub vest is designed in a loosely-fitted shape, with a flattering V-neck at the front and back. Wear yours loose over jeans or tucked into a pair of shorts. Other colours available."
5,Halterneck Top,3960,Women's Cloths,p5.jpg,"This flattering, longline fit halterneck top with v-neckline is a stylish summer staple."
6,"Lift, Slim And Shape Skinny Jeans",1250,Women's Cloths,p6.jpg,"Made from a cotton-rich blend with extra stretch these skinny jeans have been designed with cleverly hidden support which sculpts your figure and a high waistband to contour your shape. In a high rise, fitted through the hip and thigh with a slim leg."
7,"Lift, Slim And Shape Skinny Denim Jeans",1500,Women's Cloths,p7.jpg,"Made from a cotton-rich blend with extra stretch these skinny jeans have been designed with cleverly hidden support which sculpts your figure and a high waistband to contour your shape. In a high rise, fitted through the hip and thigh with a slim leg."
8,Stretch Chino Shorts,3560,Women's Cloths,p8.jpg,"Our super-versatile chino shorts are made from a cotton twill fabric with added stretch for extra comfort. Designed in a classic chino style with a concealed zip fly fastening and branded button. Featuring two functional back pockets secured with branded buttons to the reverse. Available in three leg lengths: Short - 7"" inside leg, Regular - 9"" inside leg, and Long - 11"" inside leg. Model height: 6.3 and wears a 32 R."
9,Regular Fit T-Shirt,3500,Men's Cloths,p9.jpg,"This T-shirt is designed with stag embroidery. 60% Cotton, 40% Recycled polyester."
10,Stretch Chino Shorts,3250,Men's Cloths,p10.jpg,"Our super-versatile chino shorts are made from a cotton twill fabric with added stretch for extra comfort. Designed in a classic chino style with a concealed zip fly fastening and branded button. Featuring two functional back pockets secured with branded buttons to the reverse. Available in three leg lengths: Short - 7"" inside leg, Regular - 9"" inside leg, and Long - 11"" inside leg. Model height: 6.3 and wears a 32 R."
11,Stretch Chino Shorts Linen,3250,Men's Cloths,p11.jpg,"Our super-versatile chino shorts are made from a cotton twill fabric with added stretch for extra comfort. Designed in a classic chino style with a concealed zip fly fastening and branded button. Featuring two functional back pockets secured with branded buttons to the reverse. Available in three leg lengths: Short - 7"" inside leg, Regular - 9"" inside leg, and Long - 11"" inside leg. Model height: 6.3 and wears a 32 R."
12,Regular Fit T-Shirt Blue,3500,Men's Cloths,p12.jpg,"This T-shirt is designed with stag embroidery. 60% Cotton, 40% Recycled polyester."
13,Regular Fit T-Shirt Dark Blue,3500,Men's Cloths,p13.jpg,"This T-shirt is designed with stag embroidery. 60% Cotton, 40% Recycled polyester."
14,Tuxedo Suit: Jacket,7500,Men's Cloths,p14.jpg,"Create a flawless ensemble for special events and formal occasions with our elegant tuxedo jacket. With a single-breasted design and one-button fasten, it features a peak lapel and jetted pockets in contrast satin. We've added functional cuffs and a single-back vent to complete the look. Wear yours with our matching trousers and waistcoat. Please note: linings may vary from image."
15,Seasalt Blue Women's Arty Socks,250,Day to Day Accessories,p15.jpg,"Lightweight, supersoft organic cotton ankle socks, available in a selection of lively designs. Rolled edge cuffs provide added comfort."
16,Aela Pastel Mix Lariat Necklace,780,Day to Day Accessories,p16.jpg,Bring some character to your outfit with this statement pastel mix bead lariat necklace featuring glass and semi precious beads.
17,Lipsy Envelope Clutch Bag,1250,Day to Day Accessories,p17.jpg,"An envelope clutch bag from Lipsy, featuring a gold chain and a branded metallic logo to the front.
Upper 100% Other fibres, Lining. and Sock 100% Other fibres. Sole 100% Other fibres."
18,Silver Tone Three Layer Sparkle Necklace,780,Day to Day Accessories,p18.jpg,"Shortest layer lengh: 41cm plus 7cm extender.
50% Steel, 20% Brass, 15% Zinc, 14% Glass, 1% Cubic Zirconia."
19,Accessorize Roxy Round Small Sunglasses,550,Day to Day Accessories,p19.jpg,"Be on top of trends with this smaller edition of Roxy! Featuring brown temples, gold frames and a sleek textured nose bridge, Roxy looks great at a pool party or bathing on the beach."
20,Monsoon Multi Flutter Sequin Butterfly Accessory Set,750,Day to Day Accessories,p20.jpg,"Dazzle up their day with this beautiful butterfly bag and hair clip set! Embellished with colourful sequins, this bold bag is designed with sparkly fabric and is secured with a gold-tone zip. Includes two hair clips."
21,Monsoon Sparkle Butterfly Accessory Set,750,Day to Day Accessories,p21.jpg,"Accessorise her outfits with sparkly butterflies! This two-piece set includes a headband and stretch bracelet, both in silver-tone metal with crystal butterfly details."
22,Set of 3 Brabantia Toilet Accessories,3580,Home Accessories,p22.jpg,"This top trio is here to give your smallest room an easy do-over. The toilet accessory set in White starts off with a strong and hygienic toilet brush and holder. The minimalist toilet roll holder makes it easy to pull paper off the roll, and the toilet roll dispenser discreetly holds up to three rolls. Everything you need to style up your toilet."
23,Set of 2 Water Repellent Seat Pads Accessories,1550,Home Accessories,p23.jpg,"Set of 2 water resistant seat pads, suitable for indoor and outdoor use.
Height 43cm
Width 43cm
Depth 3cm
Wipe clean only.
Main 100% Cotton. Lining 100% Polypropylene. Filling 100% Polyester."
24,Accessorize Gold Healing Stones Pendant Necklace - Rose Quartz,1250,Day to Day Accessories,p24.jpg,"Part of the Z by Accessorize collection. Rose quartz is said to symbolise unconditional love, emotional healing and compassion and you can wear it around your neck with this simple necklace. Created in rose gold-plated metal. Fastens with a lobster clasp and extender"
25,Silver Tone Pebble Rope Necklace,1350,Day to Day Accessories,p25.jpg,"Length: 80cm plus 7cm extender. 60% Zinc, 25% Brass, 13% Plastic, 2% Cubic Zirconia"
26,Ministry Of Pets Flamingo Dog Accessories Bundle,850,Day to Day Accessories,p26.jpg,"Ministry of Pet dog bundle featuring Felicity the Flamingo on a printed fabric collar, inner knotted rope dog toy and a printed melamine pet bowl."
27,Gold Tone Chunky Chain Necklace,2560,Day to Day Accessories,p27.jpg,"Length: 41cm plus 7cm extender. 92% Zinc, 5% Steel, 2% Brass, 1% Cubic Zirconia."
28,Jon Richard Rhodium Plated Cubic Zirconia Graduated Peardrop Short Pendant Necklace - Gift Boxed,5500,Day to Day Accessories,p28.jpg,"The Jon Richard graduated peardrop necklace is plated in rhodium ( part of the platinum family of metals ) with cubic zirconia crystals. Presented in beautiful high quality blue velvet Jon Richard box. This necklace measures 16"" in length and features a 2"" extender with a lobster clasp fastening.Matching items available."
